sequence,method,sp_raw,sp_norm,wsp_raw,wsp_norm
BB30019,BAliBASE,39368.0,0.32002880034740033,427.6954102302664,0.8646517265443225
BBS30021,ClustalW,385896.0,0.3200014907965953,245.99185057652377,0.7745394520253673
BBS30021,MUSCLE,412407.0,0.32000205903555357,389.0600350222059,0.8749594805122485
BBS30021,BAliBASE,395014.0,0.3200018956239403,285.392482664961,0.8075740356300121
BBS30025,ClustalW,51565.0,0.32000812013340796,53.42951627272231,0.7635523194840514
BBS30025,MUSCLE,53675.0,0.32000886023369296,73.1720601714103,0.8381836470388492
BBS30025,BAliBASE,52566.0,0.3200084763275603,55.39140872021004,0.7680086933192559
BBS30024,ClustalW,104605.0,0.32000776995363706,174.236452363042,0.7389040412854576
BBS30024,MUSCLE,115074.0,0.3200095596372833,231.7714897439506,0.8192506009126523
BBS30024,BAliBASE,109784.0,0.3200084718522791,178.13106883080553,0.7110464670997628
BB30007,ClustalW,7230.0,0.3200765473276195,99.14191016888641,0.7058778516291397
BB30007,MUSCLE,8301.0,0.3201085518831133,218.51192480313736,0.897212650385998
BB30007,BAliBASE,7937.0,0.32009856888139154,314.18392733708697,0.9580727110421339
BBS30008,ClustalW,81757.0,0.3200423862876466,53.28568225238382,0.860148190018813
BBS30008,MUSCLE,86642.0,0.3200572206248827,113.925967976544,0.8972016525772861
BBS30008,BAliBASE,79744.0,0.3200438607920228,88.59777735512402,0.8660238696249533
BBS30006,ClustalW,3645.0,0.3201741747904012,28.203351899242534,0.6598866355820383
BBS30006,MUSCLE,3679.0,0.32018380034072325,43.54136747840175,0.7606583906540957
BBS30006,BAliBASE,3550.0,0.32016001812210976,34.80121839730054,0.616921219440847
BBS30009,ClustalW,14293.0,0.32003301044355065,11.542533415867213,0.8605595450220334
BBS30009,MUSCLE,14310.0,0.3200356338510463,12.962981600131156,0.9067256323418271
BBS30009,BAliBASE,14049.0,0.3200286519466243,11.049843108415232,0.8591518917037351
BB30018,ClustalW,449024.0,0.3200108630354069,400.92687230331853,0.8924251257908589
BB30018,MUSCLE,464400.0,0.3200129782351344,546.0647160125321,0.9552377857222435
BB30018,BAliBASE,456890.0,0.32001246107397435,423.53379330712545,0.8994875017265972
BB30028,ClustalW,743517.0,0.32001051271348435,249.5783049402359,0.8439775230772298
BB30028,MUSCLE,761275.0,0.32001146105638134,354.5099907945582,0.9051414882631107
BB30028,BAliBASE,751199.0,0.3200107210006676,241.61195127295554,0.8554909224860046
BB30023,ClustalW,161502.0,0.3200047206791421,854.5725321904392,0.8555089929983946
BB30023,MUSCLE,180573.0,0.3200066499699655,1162.9311010621718,0.9240314673115501
BB30023,BAliBASE,177526.0,0.3200060076492982,804.9971586541992,0.8365713141764559
BBS30028,ClustalW,597427.0,0.3200107471098299,181.57012348356588,0.800295005415233
BBS30028,MUSCLE,606967.0,0.32001142511443775,274.7372905768648,0.8746092927218014
BBS30028,BAliBASE,604094.0,0.3200108966720314,170.21640061507094,0.7991030234112543
BB30010,ClustalW,318150.0,0.320035077660076,655.0907012822408,0.8973405506135501
